"","YEAR","Index","SE","LCI","UCI","CV","Method"
"1",1989,11.1386889372885,6.6195132659603,2.43443091707491,26.2756728062569,0.594281185445486,"NB"
"2",1990,75.3933078130878,66.1044814433338,1.38602651943304,236.832093373577,0.876795081165791,"NB"
"3",1991,8.57876362186531,5.12408259483325,6.41727048855908e-09,19.6921233434265,0.597298494362653,"NB"
"4",1992,4.21142281494948,3.04961941403083,3.33602528839838e-09,12.0758502551246,0.724130430030785,"NB"
"5",1993,42.012418603905,34.7283828961353,3.99990394813879,134.231942410749,0.826621843021135,"NB"
"6",1994,2.95801969360806,2.34627849206222,1.23848716876371e-09,9.15200687231736,0.793192316174315,"NB"
"7",1995,3.42302326456292,2.92297921695221,1.03334028194939e-09,9.2667762771933,0.853917426507893,"NB"
"8",1996,2.27314213577629,1.73451358565959,1.36998463069531e-09,5.50572981417237,0.763046691344378,"NB"
"9",1997,3.84172124409115,2.37068176884235,0.439884533375165,9.88529327316889,0.617088439846756,"NB"
"10",1998,50.3975117308832,35.5345922679203,4.14979685742188,140.170567331029,0.705086244290607,"NB"
"11",1999,43.3066365498078,36.7917287424471,2.86879947411727,142.368164602717,0.849563292686844,"NB"
"12",2000,15.5848257913716,11.0068631494128,2.36985635074408,44.2756112614349,0.706255128979795,"NB"
"13",2001,7.71525834922505,4.99913459148324,1.50911608394371,20.4528402576994,0.647954269993483,"NB"
"14",2002,29.7182795856737,16.2165016987825,7.5165377095932,71.3670803884779,0.545674309713407,"NB"
"15",2003,24.6543662902012,18.1182776823315,1.72356858855189,67.8970221224176,0.734891234642383,"NB"
"16",2004,19.9880361130469,15.3828831251169,0.241911780816707,55.0543681234083,0.769604529335223,"NB"
"17",2005,66.9373280060352,68.3569387268272,5.64782036745706,243.150574966407,1.02120805779197,"NB"
"18",2006,12.1375451513357,7.25052737931086,3.01406108865242,28.7500695296197,0.59736357631699,"NB"
"19",2007,5.16939703878082,3.90330938705641,4.17036301169091e-09,13.9128834711486,0.755080207183502,"NB"
"20",2008,11.9991930826729,10.5999564200669,1.25269973784417e-09,38.9174240126473,0.883389103503419,"NB"
"21",2009,4.39764072965418,4.5767492215009,9.1407007662193e-10,16.3852320612638,1.04072831385223,"NB"
"22",2010,9.88133612371185,7.09783559841959,0.388949943183249,26.2497026835489,0.718307272372528,"NB"
"23",2011,0.716046624435858,1.20995822479905,7.22765064512021e-10,4.36890072800637,1.68977575413099,"NB"
"24",2012,2.23012004683731,1.6441142282121,0.217253394928545,6.23856445204365,0.737231267233231,"NB"
"25",2013,0.185214808490561,0.147042547142553,2.36133233460412e-10,0.445781631107098,0.793902757241177,"NB"
"26",2014,2.59467132656918,2.1035942383802,8.46811572608045e-10,7.40921276782665,0.810736302837127,"NB"
"27",2015,2.43887267987661,1.88612186850271,1.76596340833044e-09,6.69576477203035,0.773358069925213,"NB"
"28",2016,7.51445258295389,5.24815221047747,4.78116067003237e-09,18.9038685091133,0.698407788530413,"NB"
"29",2017,0.8976029628588,1.65744086973292,5.90736497848845e-10,6.00792413711484,1.84651893801028,"NB"
"30",2018,2.77903247313277,2.97252223123745,7.31006706324935e-10,10.1405435162314,1.06962486404002,"NB"
"31",2019,0.852146104732849,0.645085489177681,1.1822025049962e-09,2.10306815256697,0.757012777028321,"NB"
"35",2020,-1,-1,-1,-1,1,"NB"
"36",2021,-1,-1,-1,-1,1,"NB"
"32",2022,10.1633132648982,6.75039021642649,0.80830873629282,27.0724555251074,0.664191887082809,"NB"
"33",2023,5.33049902880834,4.54044063033106,8.51011281006979e-10,14.495217617756,0.851785284228087,"NB"
"34",2024,1.24664033295537,1.3664307664997,4.99834355948064e-11,4.4614758821668,1.09609061280758,"NB"
